mapped_veh_id,timestamps_UTC,lat,lon,RS_E_InAirTemp_PC1,RS_E_InAirTemp_PC2,RS_E_OilPress_PC1,RS_E_OilPress_PC2,RS_E_RPM_PC1,RS_E_RPM_PC2,RS_E_WatTemp_PC1,RS_E_WatTemp_PC2,RS_T_OilTemp_PC1,RS_T_OilTemp_PC2,date,hour,maintenance
162,2023-08-25 11:10:21,51.0164254,3.7745524,0,0,241.0,334.0,796.0,804.0,0,0,0,0,2023-08-25,11:10:21,0
162,2023-08-17 14:33:45,51.0162447,3.774922,0,0,3.0,3.0,0.0,0.0,0,0,0,0,2023-08-17,14:33:45,0
162,2023-08-02 10:14:51,51.0219386,3.7617074,0,0,244.0,351.0,802.0,800.0,0,0,0,0,2023-08-02,10:14:51,0
162,2023-08-25 10:56:24,51.0164327,3.7745649,0,0,241.0,338.0,809.0,801.0,0,0,0,0,2023-08-25,10:56:24,0
162,2023-08-12 12:16:24,51.0138593,3.7795357,0,0,234.0,307.0,799.0,793.0,0,0,0,0,2023-08-12,12:16:24,0
162,2023-08-12 14:18:20,51.0182589,3.7684349,0,0,227.0,289.0,791.0,801.0,0,0,0,0,2023-08-12,14:18:20,0
162,2023-08-12 11:54:08,51.0135849,3.7800785,0,0,234.0,317.0,802.0,794.0,0,0,0,0,2023-08-12,11:54:08,0
162,2023-08-17 14:30:26,51.0167855,3.7726914,0,0,479.0,534.0,804.0,802.0,0,0,0,0,2023-08-17,14:30:26,0
162,2023-08-26 08:31:36,51.01804706666667,3.768796199999999,0,0,466.6666666666667,2.0,801.0,0.0,0,0,0,0,2023-08-26,08:31:36,0
162,2023-08-26 08:31:15,51.0182412,3.7684733,0,0,462.0,41.0,803.0,40.0,0,0,0,0,2023-08-26,08:31:15,0
162,2023-08-28 00:55:27,51.0140916,3.7784226,0,0,3.0,0.0,0.0,0.0,0,0,0,0,2023-08-28,00:55:27,0
162,2023-08-28 04:46:33,50.820274,3.8177782,0,0,379.0,445.0,1412.0,1415.0,0,0,0,0,2023-08-28,04:46:33,0
162,2023-08-28 05:20:47,50.8699015,3.8150928,0,0,220.0,248.0,798.0,791.0,0,0,0,0,2023-08-28,05:20:47,0
162,2023-08-28 05:25:34,50.9007978,3.8057348,0,0,327.0,445.0,865.0,1206.0,0,0,0,0,2023-08-28,05:25:34,0
162,2023-08-28 14:44:12,50.7705138,3.871937,0,0,207.0,251.0,795.0,808.0,0,0,0,0,2023-08-28,14:44:12,0
162,2023-08-28 03:23:48,51.0403955,3.6929212,0,0,238.0,324.0,803.0,798.0,0,0,0,0,2023-08-28,03:23:48,0
162,2023-08-28 06:19:33,51.0401877,3.6942772,0,0,3.0,6.0,0.0,0.0,0,0,0,0,2023-08-28,06:19:33,0
162,2023-08-28 01:26:44,51.0140942,3.7782897,0,0,293.0,338.0,802.0,792.0,0,0,0,0,2023-08-28,01:26:44,0
162,2023-08-25 11:29:03,51.0162805,3.7751831,0,0,231.0,327.0,801.0,799.0,0,0,0,0,2023-08-25,11:29:03,0
162,2023-08-25 07:24:00,51.0162774,3.7751603,0,0,362.0,496.0,796.0,782.0,0,0,0,0,2023-08-25,07:24:00,0
162,2023-08-02 10:18:20,51.0216912,3.7622339,0,0,241.0,348.0,800.0,796.0,0,0,0,0,2023-08-02,10:18:20,0
