Unnamed: 0,mapped_veh_id,timestamps_UTC,lat,lon,RS_E_InAirTemp_PC1,RS_E_InAirTemp_PC2,RS_E_OilPress_PC1,RS_E_OilPress_PC2,RS_E_RPM_PC1,RS_E_RPM_PC2,RS_E_WatTemp_PC1,RS_E_WatTemp_PC2,RS_T_OilTemp_PC1,RS_T_OilTemp_PC2,date,hour,air1,air2,oil1,oil2,water1,water2,maintenance
274,130,2023-08-25 14:17:27,50.9358353,5.3088134,27.0,30.0,258.0,262.0,845.0,800.0,79.0,71.0,74.0,65.0,2023-08-25,14:17:27,0,0,0,0,0,0,0
336,130,2023-08-25 14:06:20,50.9360349,5.3089844,26.0,28.0,265.0,293.0,800.0,795.0,77.0,65.0,71.0,60.0,2023-08-25,14:06:20,0,0,0,0,0,0,0
2556,130,2023-08-07 09:18:09,50.935371,5.3107651,20.0,23.0,262.0,276.0,800.0,798.0,73.0,65.0,66.0,59.0,2023-08-07,09:18:09,0,0,0,0,0,0,0
2601,130,2023-08-07 08:00:07,50.9353729,5.3107763,17.0,21.0,310.0,303.0,800.0,799.0,63.0,60.0,56.0,54.0,2023-08-07,08:00:07,0,0,0,0,0,0,0
2732,130,2023-08-07 08:20:02,50.9353661,5.3107692,17.0,21.0,286.0,289.0,799.0,798.0,66.0,61.0,60.0,55.0,2023-08-07,08:20:02,0,0,0,0,0,0,0
5213,130,2023-08-17 01:25:01,50.9353623,5.3107447,25.0,22.0,227.0,255.0,802.0,796.0,80.0,68.0,77.0,63.0,2023-08-17,01:25:01,0,0,0,0,0,0,0
5217,130,2023-08-17 02:52:03,50.9353825,5.3107836,25.0,22.0,227.0,255.0,801.0,796.0,80.0,68.0,76.0,63.0,2023-08-17,02:52:03,0,0,0,0,0,0,0
5340,130,2023-08-16 23:32:58,50.93538,5.3107664,24.0,23.0,234.0,269.0,802.0,801.0,80.0,66.0,73.0,61.0,2023-08-16,23:32:58,0,0,0,0,0,0,0
6306,130,2023-08-21 11:09:52,50.9353793,5.3107513,32.0,32.0,227.0,224.0,799.0,797.0,80.0,75.0,77.0,70.0,2023-08-21,11:09:52,0,0,0,0,0,0,0
6414,130,2023-08-21 11:46:54,50.9353624,5.3107374,35.0,35.0,220.0,220.0,797.0,805.0,81.0,77.0,77.0,72.0,2023-08-21,11:46:54,0,0,0,0,0,0,0
10905,130,2023-08-07 09:24:03,50.9353756,5.3107452,20.0,23.0,262.0,282.0,805.0,801.0,73.0,65.0,67.0,60.0,2023-08-07,09:24:03,0,0,0,0,0,0,0
11127,130,2023-08-07 09:47:10,50.9353489,5.3107912,21.0,24.0,248.0,269.0,800.0,799.0,75.0,65.0,69.0,60.0,2023-08-07,09:47:10,0,0,0,0,0,0,0
13644,130,2023-08-17 02:41:55,50.935363,5.3107531,25.0,22.0,227.0,251.0,805.0,805.0,80.0,68.0,76.0,64.0,2023-08-17,02:41:55,0,0,0,0,0,0,0
13673,130,2023-08-17 02:40:05,50.9353864,5.3107455,25.0,22.0,231.0,255.0,796.0,801.0,80.0,68.0,79.0,64.0,2023-08-17,02:40:05,0,0,0,0,0,0,0
13752,130,2023-08-16 21:47:51,50.9353758,5.3107444,21.0,22.0,365.0,355.0,796.0,801.0,56.0,53.0,44.0,43.0,2023-08-16,21:47:51,0,0,0,0,0,0,0
13761,130,2023-08-17 03:07:03,50.935363,5.3107468,26.0,22.0,231.0,258.0,794.0,801.0,80.0,68.0,76.0,64.0,2023-08-17,03:07:03,0,0,0,0,0,0,0
15260,130,2023-08-23 14:48:11,50.9352368,5.3114945,36.0,35.0,303.0,372.0,796.0,795.0,67.0,55.0,57.0,44.0,2023-08-23,14:48:11,0,0,0,0,0,0,0
15872,130,2023-08-26 08:39:00,50.9329547,5.3186091,20.0,24.0,313.0,345.0,802.0,800.0,67.0,58.0,63.0,52.0,2023-08-26,08:39:00,0,0,0,0,0,0,0
21783,130,2023-08-16 22:45:53,50.9353715,5.3107691,23.0,23.0,262.0,282.0,799.0,798.0,73.0,63.0,65.0,58.0,2023-08-16,22:45:53,0,0,0,0,0,0,0
21994,130,2023-08-16 22:27:59,50.9353991,5.3107727,22.0,22.0,282.0,289.0,801.0,801.0,70.0,61.0,63.0,55.0,2023-08-16,22:27:59,0,0,0,0,0,0,0
22835,130,2023-08-21 11:34:58,50.9353583,5.310707,33.0,33.0,227.0,220.0,795.0,799.0,80.0,76.0,76.0,71.0,2023-08-21,11:34:58,0,0,0,0,0,0,0
23555,130,2023-08-23 14:41:08,50.9353835,5.3107083,31.0,30.0,351.0,438.0,799.0,801.0,58.0,46.0,44.0,32.0,2023-08-23,14:41:08,0,0,0,0,0,0,0
27473,130,2023-08-07 09:16:05,50.9353545,5.3107581,19.0,23.0,265.0,276.0,796.0,799.0,72.0,65.0,65.0,60.0,2023-08-07,09:16:05,0,0,0,0,0,0,0
27476,130,2023-08-07 09:44:07,50.9353876,5.3107509,20.0,23.0,251.0,272.0,797.0,803.0,75.0,65.0,72.0,60.0,2023-08-07,09:44:07,0,0,0,0,0,0,0
30003,130,2023-08-16 21:26:57,50.9353744,5.3107122,20.0,22.0,476.0,469.0,800.0,793.0,42.0,42.0,28.0,27.0,2023-08-16,21:26:57,0,0,0,0,0,0,0
30233,130,2023-08-16 23:45:58,50.9353533,5.3107383,24.0,23.0,224.0,265.0,790.0,796.0,80.0,66.0,76.0,62.0,2023-08-16,23:45:58,0,0,0,0,0,0,0
30357,130,2023-08-17 01:31:56,50.9353695,5.3107456,26.0,22.0,231.0,255.0,801.0,799.0,80.0,68.0,78.0,64.0,2023-08-17,01:31:56,0,0,0,0,0,0,0
35559,130,2023-08-07 07:08:01,50.9353661,5.3107796,15.0,17.0,379.0,355.0,802.0,802.0,51.0,52.0,42.0,43.0,2023-08-07,07:08:01,0,0,0,0,0,0,0
35605,130,2023-08-07 07:52:04,50.935363,5.310736,17.0,21.0,317.0,307.0,796.0,797.0,61.0,59.0,55.0,52.0,2023-08-07,07:52:04,0,0,0,0,0,0,0
39258,130,2023-08-21 14:07:57,50.9353618,5.3107309,33.0,36.0,224.0,213.0,799.0,802.0,80.0,77.0,78.0,73.0,2023-08-21,14:07:57,0,0,0,0,0,0,0
43916,130,2023-08-07 06:59:04,50.9353716,5.3107521,15.0,17.0,400.0,379.0,800.0,806.0,50.0,49.0,40.0,40.0,2023-08-07,06:59:04,0,0,0,0,0,0,0
43963,130,2023-08-07 08:08:05,50.9353791,5.3107654,17.0,21.0,303.0,300.0,806.0,807.0,65.0,60.0,59.0,54.0,2023-08-07,08:08:05,0,0,0,0,0,0,0
43968,130,2023-08-07 10:49:03,50.9353466,5.3107477,22.0,25.0,231.0,262.0,798.0,802.0,80.0,67.0,74.0,62.0,2023-08-07,10:49:03,0,0,0,0,0,0,0
44052,130,2023-08-07 07:46:00,50.9354068,5.3107613,17.0,20.0,324.0,307.0,798.0,799.0,60.0,58.0,53.0,52.0,2023-08-07,07:46:00,0,0,0,0,0,0,0
46549,130,2023-08-16 21:48:51,50.9353667,5.3107743,21.0,22.0,369.0,358.0,798.0,805.0,56.0,53.0,45.0,43.0,2023-08-16,21:48:51,0,0,0,0,0,0,0
46704,130,2023-08-17 00:25:56,50.9353874,5.3107508,25.0,23.0,227.0,258.0,799.0,796.0,80.0,67.0,76.0,63.0,2023-08-17,00:25:56,0,0,0,0,0,0,0
46740,130,2023-08-17 00:45:00,50.9353729,5.310743,25.0,23.0,231.0,255.0,799.0,799.0,80.0,67.0,73.0,63.0,2023-08-17,00:45:00,0,0,0,0,0,0,0
47716,130,2023-08-21 09:25:57,50.9353691,5.3107219,27.0,28.0,303.0,307.0,805.0,803.0,66.0,61.0,55.0,51.0,2023-08-21,09:25:57,0,0,0,0,0,0,0
48545,130,2023-08-23 15:03:07,50.9358085,5.3103628,35.0,35.0,248.0,282.0,814.0,805.0,77.0,65.0,68.0,57.0,2023-08-23,15:03:07,0,0,0,0,0,0,0
