mapped_veh_id,timestamps_UTC,lat,lon,RS_E_InAirTemp_PC1,RS_E_InAirTemp_PC2,RS_E_OilPress_PC1,RS_E_OilPress_PC2,RS_E_RPM_PC1,RS_E_RPM_PC2,RS_E_WatTemp_PC1,RS_E_WatTemp_PC2,RS_T_OilTemp_PC1,RS_T_OilTemp_PC2,date,hour,air1,air2,oil1,oil2,water1,water2,maintenance
188,2023-08-01 08:26:25,50.3928777,4.4011832,42.0,36.0,303.0,303.0,1086.0,1245.0,83.0,81.0,79.0,81.0,2023-08-01,08:26:25,0,0,0,0,0,0,0
188,2023-08-01 14:25:35,50.418611,4.5319449,40.0,40.0,203.0,182.0,806.0,794.0,81.0,80.0,79.0,84.0,2023-08-01,14:25:35,0,0,0,0,0,0,0
188,2023-08-01 07:00:24,50.3799792,4.3894591,41.0,41.0,182.0,172.0,802.0,798.0,89.0,88.0,85.0,89.0,2023-08-01,07:00:24,0,0,0,0,0,0,0
188,2023-08-01 20:01:34,50.1914912,4.5359778,37.0,34.0,175.0,179.0,802.0,801.0,88.0,83.0,82.0,84.0,2023-08-01,20:01:34,0,0,0,0,0,0,0
188,2023-08-01 06:30:22,50.2075725,4.5279011,41.0,39.0,334.0,300.0,1501.0,1503.0,88.0,86.0,86.0,87.0,2023-08-01,06:30:22,0,0,0,0,0,0,0
188,2023-08-01 15:59:34,50.4038319,4.4387065,38.0,38.0,203.0,193.0,789.0,808.0,79.0,78.0,75.0,77.0,2023-08-01,15:59:34,0,0,0,0,0,0,0
188,2023-08-01 03:25:21,50.0606184,4.4945587,35.0,37.0,262.0,207.0,929.0,878.0,81.0,80.0,77.0,80.0,2023-08-01,03:25:21,0,0,0,0,0,0,0
188,2023-08-01 10:19:24,50.1015015,4.5135346,38.0,41.0,348.0,345.0,1707.0,1727.0,84.0,83.0,81.0,84.0,2023-08-01,10:19:24,0,0,0,0,0,0,0
188,2023-08-01 16:56:34,50.2397897,4.4868677,44.0,37.0,293.0,262.0,1299.0,1286.0,87.0,85.0,81.0,87.0,2023-08-01,16:56:34,0,0,0,0,0,0,0
188,2023-08-01 08:31:29,50.3630159,4.4025556,38.0,35.0,182.0,175.0,800.0,788.0,87.0,85.0,81.0,82.0,2023-08-01,08:31:29,0,0,0,0,0,0,0
188,2023-08-01 16:52:33,50.2584115,4.435692850000001,38.0,37.0,227.0,193.0,933.5,878.5,83.5,81.0,84.0,82.5,2023-08-01,16:52:33,0,0,0,0,0,0,0
188,2023-08-02 10:13:09,50.0906733,4.529894,39.0,41.0,210.0,189.0,801.0,795.0,80.0,79.0,76.0,81.0,2023-08-02,10:13:09,0,0,0,0,0,0,0
