Unnamed: 0,mapped_veh_id,timestamps_UTC,lat,lon,RS_E_InAirTemp_PC1,RS_E_InAirTemp_PC2,RS_E_OilPress_PC1,RS_E_OilPress_PC2,RS_E_RPM_PC1,RS_E_RPM_PC2,RS_E_WatTemp_PC1,RS_E_WatTemp_PC2,RS_T_OilTemp_PC1,RS_T_OilTemp_PC2,date,hour,air1,air2,oil1,oil2,water1,water2,maintenance
1061,165,2023-08-02 09:45:25,51.0223032,3.7610356,29.0,21.0,262.0,293.0,794.0,802.0,77.0,80.0,76.0,74.0,2023-08-02,09:45:25,0,0,0,0,0,0,0
3294,165,2023-08-09 08:10:29,51.0225517,3.7606497,29.0,20.0,279.0,310.0,794.0,795.0,75.0,76.0,73.0,70.0,2023-08-09,08:10:29,0,0,0,0,0,0,0
3346,165,2023-08-09 09:18:11,51.0222714,3.7610592,33.0,22.0,262.0,276.0,799.0,799.0,77.0,82.0,77.0,78.0,2023-08-09,09:18:11,0,0,0,0,0,0,0
3895,165,2023-08-11 15:43:07,51.0138863,3.7804502,33.0,28.0,334.0,338.0,797.0,795.0,65.0,71.0,57.0,58.0,2023-08-11,15:43:07,0,0,0,0,0,0,0
5900,165,2023-08-19 11:15:15,51.0138941,3.7798454,26.0,33.0,527.0,324.0,820.0,801.0,37.0,74.0,30.0,64.0,2023-08-19,11:15:15,0,0,0,0,0,0,0
7621,165,2023-08-26 14:32:56,51.0141166,3.7799247,22.0,20.0,500.0,496.0,799.0,800.0,42.0,45.0,30.0,28.0,2023-08-26,14:32:56,0,0,0,0,0,0,0
7984,165,2023-08-28 07:19:28,51.0318556,3.7333614,30.0,32.0,244.0,265.0,779.0,810.0,80.0,82.0,83.0,83.0,2023-08-28,07:19:28,0,0,0,0,0,0,0
8016,165,2023-08-28 06:24:31,51.1805639,3.5755739,28.0,26.0,255.0,269.0,797.0,798.0,76.0,81.0,79.0,80.0,2023-08-28,06:24:31,0,0,0,0,0,0,0
8059,165,2023-08-28 03:08:26,51.015849,3.7744737,17.0,15.0,389.0,476.0,673.0,801.0,54.0,48.0,43.0,35.0,2023-08-28,03:08:26,0,0,0,0,0,0,0
8069,165,2023-08-28 05:49:26,51.0885184,3.7194329,35.0,30.0,241.0,255.0,795.0,805.0,78.0,81.0,81.0,82.0,2023-08-28,05:49:26,0,0,0,0,0,0,0
8072,165,2023-08-28 06:27:29,51.1802537,3.5759502,27.0,27.0,262.0,272.0,797.0,795.0,76.0,81.0,78.0,81.0,2023-08-28,06:27:29,0,0,0,0,0,0,0
8137,165,2023-08-28 06:11:25,51.1802203,3.5759637,31.0,32.0,241.0,262.0,801.0,800.0,78.0,81.0,84.0,84.0,2023-08-28,06:11:25,0,0,0,0,0,0,0
8220,165,2023-08-28 04:22:24,51.1805696,3.5755686,21.0,19.0,262.0,272.0,808.0,796.0,76.0,82.0,77.0,80.0,2023-08-28,04:22:24,0,0,0,0,0,0,0
8234,165,2023-08-28 07:43:29,51.0404738,3.6873398,26.0,26.0,410.0,434.0,1280.0,1238.0,77.0,82.0,80.0,79.0,2023-08-28,07:43:29,0,0,0,0,0,0,0
8320,165,2023-08-28 04:11:23,51.1802464,3.5759591,22.0,21.0,258.0,276.0,802.0,806.0,76.0,82.0,78.0,81.0,2023-08-28,04:11:23,0,0,0,0,0,0,0
9254,165,2023-08-02 09:13:20,51.0225877,3.7606026,29.0,21.0,272.0,313.0,794.0,800.0,76.0,76.0,71.0,69.0,2023-08-02,09:13:20,0,0,0,0,0,0,0
9403,165,2023-08-02 08:25:18,51.0224452,3.76081935,27.0,21.0,320.5,363.5,759.0,794.0,66.0,66.0,62.0,57.0,2023-08-02,08:25:18,0,0,0,0,0,0,0
9538,165,2023-08-02 08:49:23,51.0225611,3.7605675,28.0,21.0,293.0,331.0,800.0,797.0,71.0,72.0,68.0,64.0,2023-08-02,08:49:23,0,0,0,0,0,0,0
11639,165,2023-08-09 07:05:14,51.0223026,3.7610564,25.0,17.0,345.0,414.0,794.0,800.0,62.0,59.0,56.0,48.0,2023-08-09,07:05:14,0,0,0,0,0,0,0
15933,165,2023-08-26 14:44:56,51.0141483,3.7799424,25.0,21.0,427.0,448.0,795.0,797.0,52.0,55.0,41.0,39.0,2023-08-26,14:44:56,0,0,0,0,0,0,0
16157,165,2023-08-28 12:02:59,50.8512529,3.6012354,38.0,32.0,238.0,258.0,800.0,793.0,80.0,85.0,84.0,85.0,2023-08-28,12:02:59,0,0,0,0,0,0,0
