Unnamed: 0,mapped_veh_id,timestamps_UTC,lat,lon,RS_E_InAirTemp_PC1,RS_E_InAirTemp_PC2,RS_E_OilPress_PC1,RS_E_OilPress_PC2,RS_E_RPM_PC1,RS_E_RPM_PC2,RS_E_WatTemp_PC1,RS_E_WatTemp_PC2,RS_T_OilTemp_PC1,RS_T_OilTemp_PC2,date,hour,air1,air2,oil1,oil2,water1,water2,maintenance
148,186,2023-08-01 18:04:30,51.1899388,5.1106683,38.0,41.0,165.0,196.0,802.0,793.0,79.0,82.0,79.0,84.0,2023-08-01,18:04:30,0,0,0,0,0,0,0
280,186,2023-08-25 15:28:14,51.18069295,4.8276539,40.0,41.5,160.0,189.5,793.0,796.0,80.0,83.0,82.0,83.5,2023-08-25,15:28:14,0,0,0,0,0,0,0
287,186,2023-08-25 19:01:14,51.1898668,5.1104376,40.0,39.0,158.0,186.0,809.0,812.0,80.0,83.0,78.0,85.0,2023-08-25,19:01:14,0,0,0,0,0,0,0
318,186,2023-08-25 09:02:46,50.9366573,5.306934050000001,28.0,26.5,270.5,418.5,1132.0,1125.5,71.0,56.0,63.5,50.5,2023-08-25,09:02:46,0,0,0,0,0,0,0
344,186,2023-08-25 16:48:11,51.1805146,4.8268446,38.0,41.0,158.0,193.0,801.0,801.0,80.0,82.0,82.0,82.0,2023-08-25,16:48:11,0,0,0,0,0,0,0
476,186,2023-08-01 17:11:32,50.9499913,5.3286156,33.0,40.0,262.0,351.0,1331.0,1341.0,80.0,83.0,76.0,83.0,2023-08-01,17:11:32,0,0,0,0,0,0,0
527,186,2023-08-01 13:54:34,50.9352422,5.3078395,27.0,30.0,186.0,262.0,804.0,798.0,72.0,71.0,65.0,66.0,2023-08-01,13:54:34,0,0,0,0,0,0,0
778,186,2023-08-02 17:44:16,51.18116355,4.82849005,39.0,41.0,158.0,187.5,800.0,798.0,82.0,84.0,85.0,86.0,2023-08-02,17:44:16,0,0,0,0,0,0,0
780,186,2023-08-02 17:57:17,51.1753148,5.0275144,42.0,45.0,148.0,169.0,785.0,786.0,83.0,83.0,85.0,84.0,2023-08-02,17:57:17,0,0,0,0,0,0,0
812,186,2023-08-02 09:35:11,51.1499344,4.6142143,41.0,43.0,289.0,355.0,1818.0,1855.0,82.0,82.0,84.0,84.0,2023-08-02,09:35:11,0,0,0,0,0,0,0
880,186,2023-08-02 03:49:05,51.2104173,5.2991638,44.0,48.0,258.0,331.0,1615.0,1599.0,87.0,86.0,87.0,90.0,2023-08-02,03:49:05,0,0,0,0,0,0,0
889,186,2023-08-25 19:07:15,51.1896198,5.1094162,40.0,40.0,162.0,189.0,795.0,797.0,79.0,81.0,80.0,84.0,2023-08-25,19:07:15,0,0,0,0,0,0,0
974,186,2023-08-25 18:26:16,51.0383711,5.2801731,39.0,43.0,151.0,172.0,803.0,800.0,85.0,87.0,90.0,92.0,2023-08-25,18:26:16,0,0,0,0,0,0,0
1038,186,2023-08-25 15:07:10,51.18483335000001,5.0819858,46.0,50.0,270.5,339.5,1799.0,1796.5,86.0,85.0,84.0,85.0,2023-08-25,15:07:10,0,0,0,0,0,0,0
1054,186,2023-08-02 06:52:06,51.0606683,5.2285674,43.0,46.0,272.0,351.0,1598.0,1736.0,82.0,83.0,82.0,85.0,2023-08-02,06:52:06,0,0,0,0,0,0,0
1070,186,2023-08-02 12:42:16,51.1842917,4.4460135,42.0,43.0,276.0,327.0,1691.0,1735.0,81.0,82.0,83.0,85.0,2023-08-02,12:42:16,0,0,0,0,0,0,0
1100,186,2023-08-02 04:35:03,51.1358486,4.5604571,40.0,41.0,282.0,365.0,1533.0,1494.0,80.0,82.0,83.0,84.0,2023-08-02,04:35:03,0,0,0,0,0,0,0
