mapped_veh_id,timestamps_UTC,lat,lon,RS_E_InAirTemp_PC1,RS_E_InAirTemp_PC2,RS_E_OilPress_PC1,RS_E_OilPress_PC2,RS_E_RPM_PC1,RS_E_RPM_PC2,RS_E_WatTemp_PC1,RS_E_WatTemp_PC2,RS_T_OilTemp_PC1,RS_T_OilTemp_PC2,date,hour
112,2023-08-04 19:14:40,51.0360083,3.7105312,39.0,30.0,303.0,258.0,797.0,804.0,68.0,81.0,68.0,77.0,2023-08-04,19:14:40
112,2023-08-07 17:28:16,51.0705843,3.7421094,37.0,38.0,269.0,241.0,801.0,798.0,76.0,83.0,75.0,82.0,2023-08-07,17:28:16
112,2023-08-07 05:55:00,51.1802078,3.5759212,34.0,35.0,282.0,258.0,804.0,802.0,71.0,81.0,76.0,79.0,2023-08-07,05:55:00
112,2023-08-07 21:29:19,51.0163533,3.7735952,52.0,56.0,0.0,3.0,0.0,0.0,65.0,79.0,63.0,77.0,2023-08-07,21:29:19
112,2023-08-07 00:07:02,50.8560091,3.6071884,13.0,13.0,541.0,565.0,799.0,800.0,37.0,35.0,20.0,19.0,2023-08-07,00:07:02
112,2023-08-07 09:35:04,51.1066325,3.7031916,41.0,40.0,465.0,310.0,1152.0,965.0,76.0,83.0,76.0,83.0,2023-08-07,09:35:04
112,2023-08-07 13:35:07,51.1069533,3.7025682,38.0,40.0,255.0,234.0,790.0,806.0,80.0,85.0,81.0,85.0,2023-08-07,13:35:07
112,2023-08-07 05:00:04,51.0293038,3.6842628,32.0,38.0,282.0,369.0,868.0,1124.0,77.0,82.0,78.0,83.0,2023-08-07,05:00:04
112,2023-08-07 11:45:02,50.7443581,3.6092699,40.0,40.0,248.0,244.0,814.0,793.0,83.0,82.0,84.0,82.0,2023-08-07,11:45:02
112,2023-08-07 16:08:06,50.7426016,3.6032867,35.0,32.0,310.0,262.0,805.0,796.0,67.0,81.0,69.0,77.0,2023-08-07,16:08:06
112,2023-08-07 20:19:16,50.7861474,3.620325,37.0,40.0,493.0,438.0,1849.0,1847.0,73.0,82.0,72.0,79.0,2023-08-07,20:19:16
112,2023-08-08 04:01:47,51.1808769,3.5751461,23.0,28.0,348.0,262.0,800.0,800.0,65.0,81.0,65.0,77.0,2023-08-08,04:01:47
112,2023-08-08 16:30:56,51.0733097,3.7370137,35.0,38.0,279.0,241.0,797.0,796.0,73.0,81.0,75.0,82.0,2023-08-08,16:30:56
112,2023-08-08 07:51:40,51.1808262,3.575159,37.0,39.0,248.0,248.0,802.0,804.0,78.0,82.0,85.0,82.0,2023-08-08,07:51:40
112,2023-08-08 02:41:46,51.0156577,3.7742506,22.0,22.0,327.0,265.0,800.0,798.0,67.0,82.0,64.0,77.0,2023-08-08,02:41:46
