mapped_veh_id,timestamps_UTC,lat,lon,RS_E_InAirTemp_PC1,RS_E_InAirTemp_PC2,RS_E_OilPress_PC1,RS_E_OilPress_PC2,RS_E_RPM_PC1,RS_E_RPM_PC2,RS_E_WatTemp_PC1,RS_E_WatTemp_PC2,RS_T_OilTemp_PC1,RS_T_OilTemp_PC2,date,hour,air1,air2,oil1,oil2,water1,water2,maintenance
176,2023-08-01 04:08:36,51.1805413,3.5755003,25.0,19.0,200.0,217.0,802.0,799.0,79.0,81.0,81.0,79.0,2023-08-01,04:08:36,0,0,0,0,0,0,0
176,2023-08-01 07:02:31,51.0358552,3.7106578,34.0,30.0,169.0,186.0,811.0,800.0,88.0,85.0,93.0,88.0,2023-08-01,07:02:31,0,0,0,0,0,0,0
176,2023-08-01 02:16:27,51.0137597,3.7796369,22.0,16.0,217.0,244.0,800.0,797.0,77.0,76.0,77.0,70.0,2023-08-01,02:16:27,0,0,0,0,0,0,0
176,2023-08-01 03:17:31,51.0880864,3.7192848,22.0,17.0,200.0,217.0,788.0,793.0,78.0,82.0,82.0,78.0,2023-08-01,03:17:31,0,0,0,0,0,0,0
176,2023-08-01 02:39:34,51.0137534,3.7796384,22.0,16.0,203.0,234.0,814.0,793.0,79.0,77.0,81.0,73.0,2023-08-01,02:39:34,0,0,0,0,0,0,0
176,2023-08-01 13:51:09,50.7700321,3.871485,28.0,31.0,200.0,213.0,799.0,803.0,79.0,81.0,82.0,79.0,2023-08-01,13:51:09,0,0,0,0,0,0,0
176,2023-08-01 02:45:34,51.0138139,3.7801993,22.0,16.0,203.0,234.0,803.0,796.0,79.0,77.0,82.0,75.0,2023-08-01,02:45:34,0,0,0,0,0,0,0
176,2023-08-01 03:35:28,51.1538872,3.6165464,38.0,42.0,348.0,365.0,1867.0,1864.0,85.0,83.0,87.0,83.0,2023-08-01,03:35:28,0,0,0,0,0,0,0
176,2023-08-02 06:39:52,51.0354272,3.7104062,31.0,29.0,175.0,196.0,797.0,799.0,86.0,82.0,93.0,85.0,2023-08-02,06:39:52,0,0,0,0,0,0,0
176,2023-08-02 07:08:01,51.0156558,3.7753593,27.0,28.0,138.0,162.0,354.0,481.0,80.0,80.0,88.0,81.0,2023-08-02,07:08:01,0,0,0,0,0,0,0
176,2023-08-02 06:14:54,50.9092718,3.6465142,36.0,32.0,324.0,362.0,1498.0,1462.0,88.0,90.0,100.0,92.0,2023-08-02,06:14:54,0,0,0,0,0,0,0
176,2023-08-02 04:43:48,50.8561779,3.6075877,15.0,22.0,289.0,324.0,800.0,882.0,62.0,62.0,60.0,55.0,2023-08-02,04:43:48,0,0,0,0,0,0,0
176,2023-08-03 11:27:01,51.0154219,3.7759833,52.0,50.0,0.0,0.0,0.0,0.0,77.0,79.0,84.0,78.0,2023-08-03,11:27:01,0,0,0,0,0,0,0
176,2023-08-03 04:53:44,50.8375223,3.6041517,30.0,29.0,193.0,196.0,798.0,781.0,81.0,81.0,92.0,85.0,2023-08-03,04:53:44,0,0,0,0,0,0,0
176,2023-08-03 06:51:43,50.771334,3.8726455,30.0,27.0,172.0,196.0,801.0,779.0,87.0,83.0,96.0,87.0,2023-08-03,06:51:43,0,0,0,0,0,0,0
176,2023-08-04 13:01:18,51.0154978,3.7746862,23.0,25.0,279.0,320.0,796.0,784.0,63.0,64.0,64.0,57.0,2023-08-04,13:01:18,0,0,0,0,0,0,0
176,2023-08-04 15:10:21,50.9359218,3.7783084,40.0,36.0,172.0,179.0,801.0,797.0,89.0,87.0,101.0,93.0,2023-08-04,15:10:21,0,0,0,0,0,0,0
176,2023-08-04 13:13:14,51.0152872,3.7753041,23.0,26.0,144.0,220.0,402.0,564.0,67.0,68.0,69.0,61.0,2023-08-04,13:13:14,0,0,0,0,0,0,0
176,2023-08-06 13:30:33,50.7740466,3.8730624,13.0,15.0,538.0,569.0,797.0,806.0,22.0,20.0,22.0,14.0,2023-08-06,13:30:33,0,0,0,0,0,0,0
176,2023-08-07 20:59:51,51.0387805,3.6939964,23.0,31.0,331.0,365.0,1372.0,1405.0,80.0,81.0,87.0,81.0,2023-08-07,20:59:51,0,0,0,0,0,0,0
176,2023-08-07 16:06:49,51.1801707,3.5759528,34.0,30.0,186.0,207.0,799.0,794.0,81.0,81.0,90.0,81.0,2023-08-07,16:06:49,0,0,0,0,0,0,0
176,2023-08-07 09:48:40,51.01532,3.7759624,49.0,47.0,0.0,0.0,0.0,0.0,77.0,80.0,84.0,78.0,2023-08-07,09:48:40,0,0,0,0,0,0,0
176,2023-08-07 16:10:07,51.1805007,3.5755777,34.0,29.0,189.0,213.0,803.0,799.0,81.0,80.0,89.0,80.0,2023-08-07,16:10:07,0,0,0,0,0,0,0
176,2023-08-07 21:09:48,50.9611757,3.6279633,34.0,35.0,175.0,186.0,806.0,803.0,86.0,88.0,97.0,91.0,2023-08-07,21:09:48,0,0,0,0,0,0,0
176,2023-08-07 20:03:47,51.1809279,3.5750699,26.0,31.0,193.0,203.0,794.0,798.0,79.0,80.0,87.0,83.0,2023-08-07,20:03:47,0,0,0,0,0,0,0
176,2023-08-07 18:48:43,50.9288765,3.6401335,36.0,27.0,307.0,348.0,1542.0,1527.0,86.0,85.0,94.0,89.0,2023-08-07,18:48:43,0,0,0,0,0,0,0
176,2023-08-07 12:07:43,51.0396646,3.694877,32.0,34.0,203.0,213.0,799.0,801.0,79.0,81.0,84.0,78.0,2023-08-07,12:07:43,0,0,0,0,0,0,0
176,2023-08-07 18:09:48,50.7422003,3.6020665,25.0,37.0,196.0,207.0,799.0,791.0,79.0,80.0,87.0,81.0,2023-08-07,18:09:48,0,0,0,0,0,0,0
176,2023-08-08 11:29:31,50.8510823,3.6011207,31.0,34.0,179.0,182.0,800.0,796.0,85.0,85.0,92.0,86.0,2023-08-08,11:29:31,0,0,0,0,0,0,0
176,2023-08-08 17:33:45,51.0994444,3.7131416,37.0,30.0,320.0,345.0,1725.0,1704.0,86.0,88.0,93.0,90.0,2023-08-08,17:33:45,0,0,0,0,0,0,0
176,2023-08-08 15:45:36,50.744522,3.6097893,32.0,36.0,251.0,186.0,1058.0,807.0,86.0,83.0,92.0,89.0,2023-08-08,15:45:36,0,0,0,0,0,0,0
176,2023-08-08 04:22:34,50.8369305,3.6044654,29.0,28.0,186.0,203.0,801.0,804.0,83.0,81.0,91.0,88.0,2023-08-08,04:22:34,0,0,0,0,0,0,0
176,2023-08-08 16:17:35,50.7442047,3.6087338,27.0,26.0,189.0,207.0,803.0,809.0,81.0,83.0,84.0,81.0,2023-08-08,16:17:35,0,0,0,0,0,0,0
176,2023-08-08 20:27:50,50.8514381,3.6014355,33.0,27.0,179.0,196.0,796.0,800.0,85.0,84.0,90.0,85.0,2023-08-08,20:27:50,0,0,0,0,0,0,0
176,2023-08-08 20:28:35,50.8510903,3.601059,32.0,26.0,175.0,200.0,792.0,796.0,84.0,83.0,90.0,85.0,2023-08-08,20:28:35,0,0,0,0,0,0,0
176,2023-08-09 09:11:14,50.9611,3.6279801,36.0,36.0,165.0,179.0,803.0,781.0,87.0,88.0,96.0,93.0,2023-08-09,09:11:14,0,0,0,0,0,0,0
176,2023-08-09 10:13:19,50.7423647,3.6026447,27.0,35.0,193.0,210.0,799.0,797.0,80.0,81.0,82.0,79.0,2023-08-09,10:13:19,0,0,0,0,0,0,0
176,2023-08-09 10:13:22,50.7421911,3.60204,27.0,35.0,193.0,213.0,797.0,794.0,80.0,81.0,82.0,79.0,2023-08-09,10:13:22,0,0,0,0,0,0,0
176,2023-08-09 03:57:12,51.180911,3.5750567,22.0,22.0,196.0,210.0,801.0,799.0,78.0,81.0,82.0,81.0,2023-08-09,03:57:12,0,0,0,0,0,0,0
176,2023-08-09 01:57:14,51.01559225,3.77430645,22.0,23.0,201.5,215.0,800.0,796.5,78.0,82.0,81.0,79.5,2023-08-09,01:57:14,0,0,0,0,0,0,0
176,2023-08-09 06:40:15,50.898625,3.6445937,33.0,35.0,293.0,345.0,1100.0,1227.0,85.0,85.0,93.0,89.0,2023-08-09,06:40:15,0,0,0,0,0,0,0
176,2023-08-09 09:01:20,51.0385355,3.6982167,34.0,28.0,186.0,208.5,804.5,801.0,83.0,81.0,86.0,83.0,2023-08-09,09:01:20,0,0,0,0,0,0,0
176,2023-08-08 23:54:15,51.0155067,3.7746333,20.0,23.0,224.0,272.0,798.0,804.0,75.0,70.0,76.0,65.0,2023-08-08,23:54:15,0,0,0,0,0,0,0
176,2023-08-10 02:11:32,50.85656685,3.60792065,15.0,16.0,458.0,462.0,796.5,835.0,42.0,41.0,45.0,37.5,2023-08-10,02:11:32,0,0,0,0,0,0,0
176,2023-08-10 18:40:46,51.0397047,3.6935317,36.0,31.0,196.0,210.0,804.0,797.0,79.0,81.0,82.0,79.0,2023-08-10,18:40:46,0,0,0,0,0,0,0
176,2023-08-10 17:53:48,51.0395638,3.6940413,39.0,32.0,196.0,207.0,800.0,808.0,79.0,81.0,80.0,80.0,2023-08-10,17:53:48,0,0,0,0,0,0,0
176,2023-08-10 17:58:37,51.0397355,3.6934066,39.0,33.0,193.0,210.0,801.0,799.0,79.0,81.0,84.0,80.0,2023-08-10,17:58:37,0,0,0,0,0,0,0
