mapped_veh_id;timestamps_UTC;lat;lon;RS_E_InAirTemp_PC1;RS_E_InAirTemp_PC2;RS_E_OilPress_PC1;RS_E_OilPress_PC2;RS_E_RPM_PC1;RS_E_RPM_PC2;RS_E_WatTemp_PC1;RS_E_WatTemp_PC2;RS_T_OilTemp_PC1;RS_T_OilTemp_PC2
187.0;2023-08-01 00:02:46;51.013895;3.779681;60.0;33.0;0.0;282.0;0.0;796.0;49.0;83.0;62.0;83.0
187.0;2023-08-25 04:34:41;50.8513402;3.601467;37.0;42.0;231.0;265.0;802.0;790.0;86.0;86.0;87.0;87.0
187.0;2023-08-01 07:37:40;51.0153928;3.77568345;20.0;31.0;291.0;313.0;804.0;798.5;76.0;78.0;71.0;74.0
187.0;2023-08-25 06:12:47;51.0402372;3.693619;50.0;50.0;0.0;0.0;0.0;0.0;83.0;82.0;86.0;86.0
187.0;2023-08-01 07:58:34;51.0152784;3.7759771;20.0;31.0;272.0;310.0;798.0;792.0;79.0;78.0;77.0;76.0
187.0;2023-08-25 05:16:42;50.7515635;3.6227364;45.0;46.0;396.0;455.0;1600.0;1587.0;89.0;91.0;89.0;87.0
187.0;2023-08-25 17:11:40;51.0331689;3.7200149;37.0;41.0;244.0;279.0;876.0;864.0;83.0;88.0;88.0;87.0
187.0;2023-08-02 14:41:58;51.0141378;3.7789307;22.0;27.0;415.5;474.0;802.0;798.0;57.0;55.0;46.5;44.5
187.0;2023-08-05 11:10:23;51.1801573;3.5759323;36.0;35.0;255.0;289.0;802.0;801.0;82.0;84.0;83.0;84.0
187.0;2023-08-05 12:51:17;50.7421871;3.6019736;42.0;41.0;238.0;282.0;796.0;813.0;86.0;83.0;86.0;85.0
187.0;2023-08-05 15:03:19;51.1808308;3.5752017;37.0;38.0;241.0;276.0;799.0;797.0;84.0;85.0;85.0;86.0
187.0;2023-08-04 23:02:19;51.0162594;3.7733874;15.0;16.0;586.0;614.0;798.0;794.0;30.0;29.0;23.0;22.0
187.0;2023-08-04 23:40:18;51.0162599;3.7733983;18.0;23.0;372.0;427.0;802.0;798.0;63.0;61.0;55.0;52.0
187.0;2023-08-05 12:02:23;51.008156;3.6700009;38.0;41.0;227.0;279.0;789.0;808.0;85.0;86.0;84.0;86.0
187.0;2023-08-06 11:11:41;51.1809026;3.5751188;33.0;35.0;241.0;286.0;799.0;796.0;85.0;83.0;83.0;84.0
187.0;2023-08-06 10:44:43;51.1419521;3.6350043;38.0;38.0;210.0;251.0;800.0;800.0;86.0;87.0;87.0;88.0
187.0;2023-08-06 08:00:30;51.0279358;3.6834043;40.0;42.0;231.0;248.0;809.0;873.0;89.0;85.0;89.0;89.0
187.0;2023-08-06 06:09:40;51.0358823;3.7110403;35.0;39.0;241.0;279.0;796.0;808.0;85.0;85.0;84.0;85.0
187.0;2023-08-06 11:29:45;51.0891231;3.7196798;39.0;41.0;224.0;258.0;801.0;795.0;85.0;86.0;89.0;90.0
187.0;2023-08-07 12:28:50;51.0135929;3.7800735;23.0;35.0;276.0;313.0;810.0;796.0;80.0;78.0;79.0;76.0
187.0;2023-08-07 07:57:52;51.0136518;3.7800644;18.0;27.0;313.0;362.0;795.0;810.0;71.0;72.0;66.0;65.0
