mapped_veh_id,timestamps_UTC,lat,lon,RS_E_InAirTemp_PC1,RS_E_InAirTemp_PC2,RS_E_OilPress_PC1,RS_E_OilPress_PC2,RS_E_RPM_PC1,RS_E_RPM_PC2,RS_E_WatTemp_PC1,RS_E_WatTemp_PC2,RS_T_OilTemp_PC1,RS_T_OilTemp_PC2
104,2023-08-06 20:45:28,50.4012217,4.4547419,18.0,19.0,341.0,393.0,859.0,808.0,68.0,48.0,65.0,44.0
104,2023-08-06 12:10:50,50.0572766,4.4926347,18.0,31.0,255.0,341.0,794.0,804.0,78.0,54.0,78.0,57.0
104,2023-08-06 04:03:45,50.0954789,4.5252534,16.0,26.0,362.0,427.0,802.0,794.0,62.0,43.0,55.0,39.0
104,2023-08-24 07:26:01,50.4203518,4.5363032,33.0,29.0,248.0,334.0,808.0,798.0,78.0,55.0,81.0,53.0
104,2023-08-24 05:09:53,50.4043444,4.4390569,25.0,28.0,265.0,348.0,798.0,804.0,77.0,56.0,71.0,50.0
104,2023-08-24 05:41:57,50.4203318,4.5363307,27.0,31.0,251.0,307.0,797.0,802.0,78.0,59.0,77.0,58.0
104,2023-08-28 04:12:19,50.4011708,4.4553295,16.0,20.0,255.0,341.0,803.0,800.0,78.0,53.0,77.0,52.0
