mapped_veh_id;timestamps_UTC;lat;lon;RS_E_InAirTemp_PC1;RS_E_InAirTemp_PC2;RS_E_OilPress_PC1;RS_E_OilPress_PC2;RS_E_RPM_PC1;RS_E_RPM_PC2;RS_E_WatTemp_PC1;RS_E_WatTemp_PC2;RS_T_OilTemp_PC1;RS_T_OilTemp_PC2
116.0;2023-08-01 15:53:39;50.8111188;3.6170216;40.0;35.0;200.0;165.0;796.0;794.0;83.0;81.0;84.0;80.0
116.0;2023-08-01 16:05:38;50.8552592;3.606061;37.0;38.0;217.0;172.0;812.0;808.0;80.0;80.0;84.0;82.0
116.0;2023-08-01 06:51:58;51.0216664;3.7630431;31.0;35.0;203.0;172.0;798.0;790.0;80.0;78.0;81.0;79.0
116.0;2023-08-01 05:58:52;50.8517512;3.6019367;36.0;42.0;210.0;169.0;800.0;800.0;82.0;80.0;84.0;82.0
116.0;2023-08-01 05:28:01;50.7425263;3.6032642;25.0;36.0;227.0;182.0;808.0;800.0;78.0;77.0;79.0;76.0
116.0;2023-08-01 06:34:59;51.0389094;3.6959189;40.0;40.0;196.0;158.0;846.0;803.0;82.0;84.0;88.0;89.0
116.0;2023-08-01 15:17:31;50.7423347;3.6026262;36.0;40.0;200.0;169.0;802.0;800.0;80.0;80.0;85.0;84.0
116.0;2023-08-02 08:06:32;51.0331153;3.71991;34.0;42.0;203.0;172.0;814.0;801.0;85.0;82.0;85.0;82.0
116.0;2023-08-02 04:13:36;50.8564805;3.6076946;20.0;25.0;379.0;300.0;803.0;800.0;53.0;52.0;45.0;43.0
116.0;2023-08-02 05:56:32;50.9357339;3.7783489;39.0;35.0;186.0;158.0;806.0;795.0;86.0;84.0;90.0;89.0
116.0;2023-08-02 06:02:30;50.905443;3.8028913;44.0;45.0;303.0;244.0;1328.0;1328.0;86.0;88.0;92.0;90.0
116.0;2023-08-02 04:58:30;50.8515372;3.6016552;22.0;30.0;248.0;189.0;801.0;790.0;74.0;74.0;66.0;67.0
116.0;2023-08-02 09:23:31;50.8819644;3.8120012;36.0;38.0;303.0;286.0;1394.0;1407.0;85.0;84.0;88.0;86.0
116.0;2023-08-02 10:37:36;51.037186;3.7038186;25.0;38.0;217.0;175.0;796.0;796.0;78.0;76.0;78.0;76.0
116.0;2023-08-03 15:24:02;51.0316874;3.7262348;40.0;36.0;179.0;162.0;798.0;793.0;85.0;82.0;89.0;86.0
116.0;2023-08-03 03:18:02;51.0884635;3.7194092;22.0;41.0;227.0;172.0;803.0;802.0;78.0;77.0;81.0;77.0
116.0;2023-08-03 11:13:55;50.8246934;3.8145419;42.0;45.0;279.0;227.0;1247.0;1253.0;89.0;85.0;93.0;90.0
116.0;2023-08-03 02:22:00;51.0155391;3.774747;20.0;28.0;234.0;182.0;809.0;802.0;79.0;77.0;74.0;75.0
116.0;2023-08-03 13:15:55;50.769949;3.87145165;36.0;34.0;217.0;177.0;803.5;797.5;77.0;77.0;80.0;79.0
116.0;2023-08-03 02:07:05;51.0153251;3.775258;20.0;28.0;238.0;182.0;792.0;801.0;77.0;77.0;74.0;74.0
116.0;2023-08-03 13:04:57;50.7701293;3.8715524;39.0;40.0;207.0;169.0;798.0;800.0;78.0;79.0;82.0;82.0
116.0;2023-08-03 15:58:03;50.8514541;3.6015393;37.0;37.0;182.0;165.0;799.0;796.0;86.0;82.0;90.0;87.0
116.0;2023-08-04 06:19:14;50.9293926;3.6399058;38.0;38.0;358.0;338.0;1929.0;1913.0;83.0;82.0;89.0;89.0
116.0;2023-08-04 06:50:10;51.0333147;3.7193234;31.0;35.0;207.0;172.0;799.0;798.0;80.0;79.0;82.0;82.0
116.0;2023-08-04 09:57:40;51.0135324;3.780045;57.0;56.0;0.0;3.0;0.0;0.0;78.0;73.0;79.0;74.0
116.0;2023-08-05 08:03:28;51.0152843;3.7753366;16.0;15.0;514.0;496.0;793.0;799.0;33.0;30.0;25.0;23.0
116.0;2023-08-06 13:06:47;51.0135874;3.7799327;23.0;18.0;262.0;200.0;804.0;797.0;72.0;71.0;68.0;67.0
116.0;2023-08-06 17:51:04;50.9627105;3.6277992;40.0;43.0;341.0;331.0;1919.0;1904.0;86.0;82.0;92.0;91.0
116.0;2023-08-06 15:58:55;51.0385506;3.6981408;28.0;29.0;220.0;182.0;800.0;801.0;77.0;76.0;79.0;77.0
116.0;2023-08-06 12:38:48;51.0134999;3.7799869;22.0;17.0;303.0;248.0;801.0;799.0;64.0;62.0;57.0;58.0
116.0;2023-08-06 13:10:56;51.0138251;3.7795447;23.0;19.0;255.0;200.0;797.0;802.0;73.0;72.0;68.0;68.0
116.0;2023-08-07 10:02:00;51.0368243;3.7045239;37.0;42.0;193.0;172.0;798.0;812.0;83.0;80.0;86.0;81.0
116.0;2023-08-07 06:09:57;50.8680204;3.8142184;36.0;41.0;193.0;162.0;804.0;807.0;82.0;83.0;86.0;85.0
116.0;2023-08-07 04:11:04;50.7433879;3.606083;41.0;41.0;200.0;165.0;834.0;799.0;82.0;85.0;89.0;87.0
116.0;2023-08-07 01:30:01;50.8564828;3.607675;20.0;30.0;227.0;175.0;798.0;802.0;78.0;77.0;77.0;76.0
116.0;2023-08-07 07:08:15;50.7859884;3.8728437;41.0;38.0;365.0;355.0;1929.0;1922.0;80.0;79.0;83.0;82.0
116.0;2023-08-07 09:35:57;50.9544151;3.7818294;41.0;40.0;338.0;293.0;1715.0;1546.0;87.0;84.0;91.0;89.0
116.0;2023-08-07 00:21:53;50.8564804;3.6076516;22.0;27.0;244.0;196.0;803.0;794.0;76.0;72.0;71.0;68.0
116.0;2023-08-07 03:06:57;50.856778;3.6081012;22.0;31.0;213.0;179.0;795.0;799.0;79.0;77.0;79.0;76.0
116.0;2023-08-07 22:10:14;51.0161548;3.7730237;21.0;17.0;438.0;386.0;797.0;805.0;48.0;42.0;39.0;37.0
116.0;2023-08-08 17:51:55;50.8030442;3.8521189;38.0;55.0;355.0;6.0;1498.0;0.0;82.0;41.0;91.0;54.0
116.0;2023-08-08 01:38:17;51.0400052;3.6949399;27.0;28.0;227.0;179.0;799.0;796.0;78.0;76.0;77.0;76.0
116.0;2023-08-08 05:07:16;50.7423651;3.6025602;30.0;33.0;217.0;175.0;794.0;796.0;77.0;76.0;80.0;78.0
116.0;2023-08-08 17:46:04;50.8432985;3.818552;40.0;55.0;175.0;6.0;801.0;0.0;86.0;40.0;89.0;54.0
116.0;2023-08-08 13:36:54;50.884761;3.8115544;45.0;64.0;286.0;0.0;1297.0;0.0;87.0;82.0;92.0;85.0
116.0;2023-08-08 17:13:59;51.0103752;3.7832178;40.0;56.0;189.0;6.0;831.0;0.0;85.0;43.0;93.0;58.0
116.0;2023-08-08 18:16:55;50.8498811;3.8131729;40.0;48.0;172.0;6.0;800.0;0.0;87.0;38.0;86.0;52.0
116.0;2023-08-09 14:45:34;51.0138489;3.7794646;33.0;28.0;265.0;338.0;800.0;815.0;71.0;48.0;65.0;36.0
116.0;2023-08-09 07:20:54;51.0398264;3.6941374;32.0;24.0;215.0;20.0;801.5;0.0;78.0;21.0;81.5;28.5
116.0;2023-08-09 07:13:52;51.0396413;3.6950071;37.0;24.0;207.0;20.0;798.0;0.0;79.0;21.0;82.0;28.0
116.0;2023-08-09 07:37:49;51.0397119;3.6947331;31.0;24.0;210.0;20.0;788.0;0.0;78.0;21.0;79.0;28.0
116.0;2023-08-09 08:45:03;51.035642;3.7116323;36.0;23.0;200.0;20.0;801.0;0.0;81.0;20.0;86.0;27.0
116.0;2023-08-09 15:02:35;51.0131499;3.7805856;56.0;42.0;0.0;10.0;0.0;0.0;72.0;50.0;71.0;47.0
116.0;2023-08-09 06:36:51;50.955764;3.7823599;43.0;24.0;327.0;20.0;1812.0;0.0;88.0;21.0;94.0;28.0
116.0;2023-08-09 04:15:50;50.8354653;3.8134004;39.0;26.0;193.0;17.0;801.0;0.0;82.0;23.0;89.0;28.0
