mapped_veh_id,timestamps_UTC,lat,lon,RS_E_InAirTemp_PC1,RS_E_InAirTemp_PC2,RS_E_OilPress_PC1,RS_E_OilPress_PC2,RS_E_RPM_PC1,RS_E_RPM_PC2,RS_E_WatTemp_PC1,RS_E_WatTemp_PC2,RS_T_OilTemp_PC1,RS_T_OilTemp_PC2
188,2023-08-02 19:45:26,50.2676188,4.4332838,37.0,36.0,179.0,169.0,795.0,786.0,83.0,87.0,81.0,86.0
188,2023-08-02 16:03:16,50.403828,4.4386504,39.0,36.0,213.0,193.0,799.0,801.0,78.0,78.0,74.0,77.0
188,2023-08-02 16:21:25,50.4037663,4.4371498,37.0,30.0,382.0,348.0,1543.0,1529.0,78.0,78.0,76.0,79.0
188,2023-08-02 02:08:06,50.0948127,4.5268821,25.0,25.0,272.0,244.0,798.0,812.0,70.0,68.0,60.0,62.0
188,2023-08-02 02:43:01,50.0959206,4.5249075,27.0,27.0,224.0,200.0,813.0,788.0,81.0,79.0,74.0,75.0
188,2023-08-02 03:19:06,50.058949,4.4937853,37.0,36.0,203.0,189.0,795.0,804.0,80.0,79.0,76.0,79.0
188,2023-08-02 04:20:08,50.3339027,4.4064095,42.0,37.0,196.0,175.0,796.0,800.0,83.0,85.0,81.0,85.0
188,2023-08-02 16:54:12,50.2370074,4.5004935,38.0,36.0,179.0,172.0,797.0,796.0,88.0,86.0,81.0,85.0
188,2023-08-02 12:35:09,50.0572352,4.4926126,38.0,41.0,200.0,189.0,797.0,801.0,83.0,77.0,79.0,82.0
188,2023-08-02 16:25:25,50.3917515,4.4003514,45.0,43.0,341.0,317.0,1548.0,1557.0,84.0,83.0,80.0,83.0
188,2023-08-02 05:49:22,50.1904038,4.5351449,45.0,38.0,303.0,276.0,1311.0,1322.0,87.0,86.0,87.0,87.0
188,2023-08-02 06:04:22,50.069559,4.5029354,38.0,37.0,327.0,258.0,1374.0,1228.0,83.0,86.0,85.0,88.0
188,2023-08-02 10:10:06,50.0693233,4.5025853,36.0,37.0,341.0,296.0,1309.0,1318.0,82.0,80.0,77.0,81.0
188,2023-08-02 05:20:02,50.3205112,4.4050447,41.0,38.0,345.0,331.0,1946.0,1927.0,87.0,87.0,85.0,89.0
188,2023-08-02 10:57:11,50.3558261,4.408812,40.0,40.0,313.0,286.0,1414.0,1392.0,90.0,87.0,84.0,87.0
188,2023-08-02 14:59:12,50.4178076,4.5305473,36.0,37.0,210.0,193.0,805.0,798.0,78.0,77.0,74.0,79.0
188,2023-08-02 20:01:26,50.1915302,4.5359997,39.0,36.0,179.0,169.0,799.0,799.0,84.0,87.0,81.0,85.0
188,2023-08-03 15:39:05,50.4038443,4.4385285,41.0,41.0,207.0,189.0,795.0,799.0,80.0,78.0,77.0,79.0
188,2023-08-03 12:46:04,50.0572013,4.4926012,36.0,39.0,207.0,189.0,805.0,797.0,79.0,77.0,76.0,79.0
188,2023-08-03 16:27:01,50.3837387,4.3877228,38.0,36.0,196.0,182.0,807.0,801.0,83.0,80.0,77.0,82.0
188,2023-08-03 09:59:57,50.0569545,4.4923291,32.0,33.0,220.0,193.0,790.0,796.0,78.0,77.0,74.0,78.0
188,2023-08-03 18:05:08,50.0570393,4.4923567,34.0,37.0,213.0,186.0,797.0,792.0,78.0,77.0,75.0,80.0
188,2023-08-03 18:52:11,50.3201645,4.4049264,43.0,39.0,186.0,172.0,803.0,802.0,85.0,81.0,82.0,85.0
188,2023-08-03 07:21:57,50.4039263,4.4383144,36.0,30.0,213.0,193.0,795.0,803.0,78.0,77.0,74.0,80.0
